what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1551783128871
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1551783130777
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1551783133539
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1551783160714
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1551783166034
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1551783235891
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.format",1551783263799
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.format",1551783275796
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1551783279259
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1551783280210
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1551783287324
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1551783289277
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1551783297016
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1551783299309
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1551783306068
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1551783307253
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1551783330409
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1551783331438
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.DebugLast",1551783341212
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1551783341243
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1551783342491
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1551783434926
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1551783441556
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1551783442882
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1551783444052
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1551783448579
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1551783454992
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1551783457176
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1551783468611
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1551783474866
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1551783476255
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1551783477799
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1551783478941
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1551783483731
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1551783485463
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.DebugLast",1551783794020
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1551783794051
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1551783803458
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1551783967320
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1551784102464
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1551784102479
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1551784105552
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1551784119093
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1551784119140
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1551784119187
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1551784123368
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1551784128251
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1551784131729
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1551784134725
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1551784228871
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1551784230119
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1551784231601
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1551784286653
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.toggleOverwrite",1551784560075
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.toggleOverwrite",1551784562898
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1551784791564
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1551785032007
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1551785171892
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1551785172938
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1551785175184
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1551785176828
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1551785187312
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1551785209605
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1551785231070
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1551785233457
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1551785237432
started,bundle,org.eclipse.mylyn.java.tasks,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.tasks",1551785255699
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1551785256105
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.window.activateEditor",1551785256838
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.DebugLast",1551785257805
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1551785257821
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1551785258617
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1551785264517
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1551785277373
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1551785368337
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1551785369413
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1551785370396
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1551785371694
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1551785378902
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1551785650810
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1551785652121
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1551785653182
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1551785654323
